title,author,year,genre,audience,pages,goodreads_rating,tags
I Am the Real One,Samwol,2020.0,Romance,adult,,3.72,fantasy manga romance
Parallel City,Goda,2019.0,Mystery,adult,,3.72,action manga sci-fi suspense
Houkago no Charisma (Afterschool Charisma),"Suekane, Kumiko",2008.0,Mystery,adult,,3.72,adult manga mystery sci-fi
Sengoku Basara 2 (Sengoku Basara: Samurai Legends),"Haibara, Yaku",2007.0,Manga,adult,,3.72,adult manga
Tokedase! Mizore-chan,"Tabi, Hanao",2018.0,Slice of Life,young_adult,,3.72,comedy manga slice-of-life supernatural young_adult
Fuzoroi no Renri (Assorted Entanglements),Mikanuji,2019.0,Slice of Life,adult,,3.72,lgbt manga slice-of-life
Akame ga Kill! Zero,Takahiro,2013.0,Fantasy,adult,,3.72,action adult drama fantasy manga
Zettai naru Isolator (The Isolator),"Kawahara, Reki",2014.0,Manga,adult,,3.72,manga
Bokutachi wa Shitte Shimatta,"Miyasaka, Kaho",2007.0,Manga,young_adult,,3.72,manga young_adult
Notes.,"Nasu, Kinoko",1999.0,Fantasy,adult,,3.72,fantasy manga supernatural
Love Plus: Rinko Days,"Seo, Kouji",2010.0,Romance,young_adult,,3.72,comedy manga romance young_adult
Ookami-san Series,"Okita, Masashi",2006.0,Manga,adult,,3.72,comedy drama manga romance
Bokura no☆Hikari Club,"Furuya, Usamaru",2011.0,Horror,adult,,3.72,drama horror manga
Super Doctor K,"Mafune, Kazuo",1988.0,Drama,young_adult,,3.72,adventure drama manga young_adult
Akuma ni Itsukushimi no Te wo,"Takagi, Shigeyoshi",2011.0,Fantasy,young_adult,,3.72,drama fantasy manga romance young_adult
Gensou Suikoden V Anthology (Suikoden 5 Anthology),"Morozumi, Junka",,Fantasy,adult,,3.72,comedy fantasy manga
Pig Bride,"Huh, Gook Hwa",2007.0,Romance,young_adult,,3.72,comedy manga romance young_adult
Koi yori Aoku (Bluer Than Love),"Fukaumi, Kon",2023.0,Manga,adult,,3.72,manga
Shuuen no Shiori,Suzumu,2013.0,Horror,adult,,3.72,horror manga mystery supernatural
ReCollection,"Takano, Ichigo",2013.0,Mystery,adult,,3.72,fantasy manga mystery
666 Satan (O-Parts Hunter),"Kishimoto, Seishi",2001.0,Fantasy,young_adult,,3.72,action adventure comedy drama fantasy manga supernatural young_adult
Kidou Senshi Gundam: École du Ciel (Mobile Suit Gundam: École du Ciel),"Mikimoto, Haruhiko",2001.0,Science Fiction,young_adult,,3.72,action manga sci-fi young_adult
"Kuro no Taiyou, Gin no Tsuki (Black Sun Silver Moon)","Maeda, Tomo",2002.0,Mystery,young_adult,,3.72,manga mystery supernatural young_adult
"Nidome no Natsu, Nidoto Aenai Kimi","Akagi, Hirotaka",2016.0,Romance,young_adult,,3.72,drama manga romance young_adult
Kono Yuusha ga Ore Tueee Kuse ni Shinchou sugiru (The Hero Is Overpowered But Overly Cautious),"Toyota, Saori",2017.0,Fantasy,adult,,3.72,action adventure comedy fantasy manga
Saboten no Himitsu (Cactus's Secret),"Haruta, Nana",2003.0,Romance,young_adult,,3.72,comedy manga romance young_adult
Pietà,"Haruno, Nanae",1998.0,Drama,adult,,3.72,adult coming-of-age drama lgbt manga mind psychological school
Nagatachou Strawberry,"Sakai, Mayu",2002.0,Romance,young_adult,,3.72,drama manga romance young_adult
Helter Skelter (Helter Skelter: Fashion Unfriendly),"Okazaki, Kyoko",1995.0,Horror,adult,,3.72,adult horror manga
Nijiiro Tougarashi,"Adachi, Mitsuru",1990.0,Science Fiction,young_adult,,3.72,action adventure combat comedy drama fantasy historical manga martial-arts romance sci-fi young_adult
Tetsuwan Girl,"Takahashi, Tsutomu",2000.0,Slice of Life,adult,,3.72,adult drama manga slice-of-life sports
Karaoke Iko! (Let's Go Karaoke!),"Wayama, Yama",2019.0,Manga,adult,,3.72,manga
Otonari ni Ginga (A Galaxy Next Door),"Amagakure, Gido",2020.0,Manga,adult,,3.72,adult comedy manga romance supernatural
Nicoichi,"Kindaichi, Renjuurou",2004.0,Slice of Life,adult,,3.72,adult comedy drama family gender manga romance slice-of-life
Yuuki Yuuna wa Yuusha de Aru,Takahiro,2014.0,Fantasy,adult,,3.72,fantasy manga slice-of-life
Tokyo ESP,"Segawa, Hajime",2010.0,Science Fiction,young_adult,,3.72,action drama manga sci-fi supernatural young_adult
Corset ni Tsubasa,"Moto, Naoko",2007.0,Romance,young_adult,,3.72,drama manga romance young_adult
Hitsugi no Chaika,"Sakaki, Ichirou",2010.0,Fantasy,adult,,3.72,action adventure comedy fantasy manga romance
Ichi,"Shinohara, Hana",2008.0,Action,adult,,3.72,action adult adventure drama manga
Only You: Tobenai Tsubasa,"Suetsugu, Yuki",1997.0,Manga,young_adult,,3.72,manga young_adult
Tatakae! Ryouzanpaku Shijou Saikyou no Deshi,"Matsuena, Syun",2000.0,Action,young_adult,,3.72,action comedy ecchi manga young_adult
Dante Shinkyoku,"Nagai, Go",1994.0,Mystery,adult,,3.72,drama manga mystery supernatural
Gokujou Twins,"Shiiba, Nana",2009.0,Romance,young_adult,,3.72,comedy manga romance young_adult
Are You Alice?,"Katagiri, Ikumi",2009.0,Mystery,adult,,3.72,action adult adventure fantasy manga mystery
Mirai Nikki,"Esuno, Sakae",2012.0,Mystery,adult,,3.72,action dark high-stakes-game manga mind mystery psychological supernatural survival suspense
Isekai Yakkyoku,keepout,2016.0,Manga,adult,,3.72,drama fantasy isekai manga medical parallel-world reincarnation
Final Fantasy: Lost Stranger (Final Fantasy Lost Stranger),"Minase, Hazuki",2017.0,Science Fiction,young_adult,,3.72,fantasy manga sci-fi young_adult
